benchmark,vectorless_status,saif_generation_status,read_saif_status,saif_power_status,vectorless_total_power_w,vectorless_dynamic_power_w,vectorless_static_power_w,saif_total_power_w,saif_dynamic_power_w,saif_static_power_w,saif_window_ns,saif_total_wall_sec,dcp_path,saif_path,read_saif_log,power_vectorless_rpt,power_saif_rpt,estimated_label
b1_small,PASS,PASS,PASS,PASS,0.181000,0.049000,0.131000,0.126000,0.004000,0.122000,200,6.140917,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v5/b1_small/activity.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v5/b1_small/read_saif.log,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v5/b1_small/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v5/b1_small/power_saif.rpt,ESTIMATED_PRE_BOARD_ONLY
b3_varshney_exec_expanded_gap_300_5824,PASS,PASS,PASS,PASS,0.248000,0.116000,0.132000,0.148000,0.025000,0.122000,200,16.603246,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/activity.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/read_saif.log,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/power_saif.rpt,ESTIMATED_PRE_BOARD_ONLY
