benchmark,window_label,saif_window_ns,part,target_part_match,vectorless_status,saif_generation_status,read_saif_status,saif_power_status,vectorless_total_power_w,vectorless_dynamic_power_w,vectorless_static_power_w,saif_total_power_w,saif_dynamic_power_w,saif_static_power_w,saif_total_wall_sec,dcp_path,funcsim_netlist,saif_path,read_saif_log,power_vectorless_rpt,power_saif_rpt,post_route_timing,post_route_utilization,estimated_label,representativity_note
b1_small,200ns,200,xc7a200tsbg484-1,true,PASS,PASS,PASS,PASS,0.181000,0.049000,0.131000,0.126000,0.004000,0.122000,6.076119,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/nema_kernel_postroute_funcsim.v,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/activity_200ns.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/read_saif_200ns.log,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/power_saif_200ns.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route_timing.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route_utilization.rpt,ESTIMATED_PRE_BOARD_ONLY,Synthetic clock-only testbench; longer windows (100us) improve stability but remain pre-board estimates.
b1_small,100us,100000,xc7a200tsbg484-1,true,PASS,PASS,PASS,PASS,0.181000,0.049000,0.131000,0.126000,0.004000,0.122000,6.076303,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/nema_kernel_postroute_funcsim.v,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/activity_100us.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/read_saif_100us.log,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b1_small/power_saif_100us.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route_timing.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route_utilization.rpt,ESTIMATED_PRE_BOARD_ONLY,Synthetic clock-only testbench; longer windows (100us) improve stability but remain pre-board estimates.
b3_varshney_exec_expanded_gap_300_5824,200ns,200,xc7a200tsbg484-1,true,PASS,PASS,PASS,PASS,0.248000,0.116000,0.132000,0.148000,0.025000,0.122000,16.041231,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/nema_kernel_postroute_funcsim.v,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/activity_200ns.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/read_saif_200ns.log,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/power_saif_200ns.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route_timing.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route_utilization.rpt,ESTIMATED_PRE_BOARD_ONLY,Synthetic clock-only testbench; longer windows (100us) improve stability but remain pre-board estimates.
b3_varshney_exec_expanded_gap_300_5824,100us,100000,xc7a200tsbg484-1,true,PASS,PASS,PASS,PASS,0.248000,0.116000,0.132000,0.148000,0.025000,0.122000,15.892044,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/nema_kernel_postroute_funcsim.v,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/activity_100us.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/read_saif_100us.log,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v6/b3_varshney_exec_expanded_gap_300_5824/power_saif_100us.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route_timing.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route_utilization.rpt,ESTIMATED_PRE_BOARD_ONLY,Synthetic clock-only testbench; longer windows (100us) improve stability but remain pre-board estimates.
