benchmark,mandatory,attempted,impl_ok,part,part_match_requested,lut,ff,bram,dsp,wns,tns,clock_period_ns,fmax_est_mhz,reason,note,post_route_timing,post_route_utilization,vivado_log
b1_small,true,false,false,-,false,-,-,-,-,-,-,5,-,requested_part_unavailable:xc7a200t-1sbg484c,"sample_available_parts=xcvh1742-lsva4737-1LP-e-S,xcvh1742-lsva4737-1MP-e-S,xcvh1742-lsva4737-2LHP-e-L,xcvh1742-lsva4737-2LHP-e-S,xcvh1742-lsva4737-2LP-e-L,xcvh1742-lsva4737-2LP-e-S,xcvh1742-lsva4737-2MHP-e-L,xcvh1742-lsva4737-2MHP-e-S,xcvh1742-lsva4737-2MP-e-L,xcvh1742-lsva4737-2MP-e-S",-,-,-
b3_varshney_exec_expanded_gap_279_7284,true,false,false,-,false,-,-,-,-,-,-,5,-,requested_part_unavailable:xc7a200t-1sbg484c,"repository currently aliases this benchmark to B3 kernel baseline assets; benchmark assets aliased to B3 kernel baseline (no dedicated varshney manifest/IR); sample_available_parts=xcvh1742-lsva4737-1LP-e-S,xcvh1742-lsva4737-1MP-e-S,xcvh1742-lsva4737-2LHP-e-L,xcvh1742-lsva4737-2LHP-e-S,xcvh1742-lsva4737-2LP-e-L,xcvh1742-lsva4737-2LP-e-S,xcvh1742-lsva4737-2MHP-e-L,xcvh1742-lsva4737-2MHP-e-S,xcvh1742-lsva4737-2MP-e-L,xcvh1742-lsva4737-2MP-e-S",-,-,-
b2_mid_64_1024,false,false,false,-,false,-,-,-,-,-,-,5,-,requested_part_unavailable:xc7a200t-1sbg484c,"sample_available_parts=xcvh1742-lsva4737-1LP-e-S,xcvh1742-lsva4737-1MP-e-S,xcvh1742-lsva4737-2LHP-e-L,xcvh1742-lsva4737-2LHP-e-S,xcvh1742-lsva4737-2LP-e-L,xcvh1742-lsva4737-2LP-e-S,xcvh1742-lsva4737-2MHP-e-L,xcvh1742-lsva4737-2MHP-e-S,xcvh1742-lsva4737-2MP-e-L,xcvh1742-lsva4737-2MP-e-S",-,-,-
b6_delay_small,false,false,false,-,false,-,-,-,-,-,-,5,-,requested_part_unavailable:xc7a200t-1sbg484c,"sample_available_parts=xcvh1742-lsva4737-1LP-e-S,xcvh1742-lsva4737-1MP-e-S,xcvh1742-lsva4737-2LHP-e-L,xcvh1742-lsva4737-2LHP-e-S,xcvh1742-lsva4737-2LP-e-L,xcvh1742-lsva4737-2LP-e-S,xcvh1742-lsva4737-2MHP-e-L,xcvh1742-lsva4737-2MHP-e-S,xcvh1742-lsva4737-2MP-e-L,xcvh1742-lsva4737-2MP-e-S",-,-,-
