benchmark,part,target_part_match,clock_period_ns,ticks,tb_top,dut_instance,vectorless_status,saif_generation_status,read_saif_status,saif_power_status,vectorless_total_power_w,vectorless_dynamic_power_w,vectorless_static_power_w,saif_total_power_w,saif_dynamic_power_w,saif_static_power_w,matched_nets,total_nets,dcp_path,funcsim_netlist,tb_tick,saif_path,read_saif_log,power_vectorless_rpt,power_saif_rpt,estimated_label,representativity_note
b1_small,xc7a200tsbg484-1,true,5,50,tb_tick,dut,PASS,PASS,PASS,PASS,0.181000,0.049000,0.131000,0.139000,0.008000,0.131000,1059,1329,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b1_small/dut_funcsim.v,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b1_small/tb_tick.sv,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b1_small/activity_func.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b1_small/read_saif.log,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b1_small/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b1_small/power_saif_func.rpt,ESTIMATED_PRE_BOARD_ONLY,"Functional post-route xsim SAIF from tick-driven TB (benchmark-shaped state + LUT), pre-board estimate."
b3_varshney_exec_expanded_gap_300_5824,xc7a200tsbg484-1,true,5,10,tb_tick,dut,PASS,PASS,PASS,PASS,0.248000,0.116000,0.132000,0.163000,0.031000,0.132000,4147,8683,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b3_varshney_exec_expanded_gap_300_5824/dut_funcsim.v,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b3_varshney_exec_expanded_gap_300_5824/tb_tick.sv,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b3_varshney_exec_expanded_gap_300_5824/activity_func.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b3_varshney_exec_expanded_gap_300_5824/read_saif.log,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b3_varshney_exec_expanded_gap_300_5824/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power_artix7_v7_funcsaif/b3_varshney_exec_expanded_gap_300_5824/power_saif_func.rpt,ESTIMATED_PRE_BOARD_ONLY,"Functional post-route xsim SAIF from tick-driven TB (benchmark-shaped state + LUT), pre-board estimate."
