benchmark,part,target_part,target_part_match,vectorless_status,saif_generation_status,read_saif_status,saif_power_status,vectorless_total_power_w,vectorless_dynamic_power_w,vectorless_static_power_w,saif_total_power_w,saif_dynamic_power_w,saif_static_power_w,ii_cycles,fmax_est_mhz,vectorless_energy_per_tick_nj,saif_energy_per_tick_nj,bench_report_path,dcp_path,saif_path,read_saif_log,power_vectorless_rpt,power_saif_rpt,estimated_label,reason
b1_small,xcvh1742-lsva4737-1LP-e-S,xc7a200t-1sbg484c,false,PASS,PASS,PASS,PASS,19.877000,0.007000,19.870000,19.876000,0.007000,19.870000,32.000,258.331181,2462.203744,2462.079872,/home/tangodelta/Escritorio/NEMA/build/audit_min/bench_verify/b1/example_b1_small_subgraph/bench_report.json,/home/tangodelta/Escritorio/NEMA/build/post_route_sim_b1/artifacts/nema_kernel_postroute.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_power/b1_small/activity.saif,/home/tangodelta/Escritorio/NEMA/build/amd_power/b1_small/read_saif.log,/home/tangodelta/Escritorio/NEMA/build/amd_power/b1_small/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power/b1_small/power_saif.rpt,ESTIMATED_PRE_BOARD_ONLY,ok
b3_varshney_exec_expanded_gap_279_7284,-,xc7a200t-1sbg484c,false,PASS,NOT_AVAILABLE:no_timing_sim_harness,NOT_AVAILABLE,NOT_RUN,19.893000,0.023000,19.871000,-,-,-,-,-,-,-,/home/tangodelta/Escritorio/NEMA/build/audit_min/dsl_hwtest/b3/B3_kernel_302_7500/bench_report.json,/home/tangodelta/Escritorio/NEMA/build/amd_power/b3_varshney_exec_expanded_gap_279_7284/post_route.dcp,-,/home/tangodelta/Escritorio/NEMA/build/amd_power/b3_varshney_exec_expanded_gap_279_7284/read_saif.log,/home/tangodelta/Escritorio/NEMA/build/amd_power/b3_varshney_exec_expanded_gap_279_7284/power_vectorless.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_power/b3_varshney_exec_expanded_gap_279_7284/power_saif.rpt,ESTIMATED_PRE_BOARD_ONLY,ok
