benchmark,impl_ok,part,part_match_requested,lut,ff,bram,dsp,wns_ns,tns_ns,clock_period_ns,clock_freq_mhz,fmax_est_mhz,reason,post_route_dcp,post_route_utilization,post_route_timing,vivado_log
b1_small,true,xc7a200tsbg484-1,true,474,323,0,0,-1.743000,-92.501000,5,200,148.301943,ok,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route_utilization.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/post_route_timing.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b1_small/vivado.log
b3_varshney_exec_expanded_gap_300_5824,true,xc7a200tsbg484-1,true,2734,2862,7,2,0.356000,0,5,200,215.331611,ok,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route_utilization.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/post_route_timing.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v5/b3_varshney_exec_expanded_gap_300_5824/vivado.log
