benchmark,impl_ok,part,part_match_requested,lut,ff,bram,dsp,wns_ns,tns_ns,clock_period_ns,clock_freq_mhz,fmax_est_mhz,reason,post_route_dcp,post_route_utilization,post_route_timing,operating_conditions,vivado_log
b1_small,true,xc7a200tsbg484-1,true,-,-,0,-,-1.743000,-92.501000,5,200,148.301943,ok,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b1_small/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b1_small/post_route_utilization.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b1_small/post_route_timing.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b1_small/operating_conditions.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b1_small/vivado.log
b3_varshney_exec_expanded_gap_300_5824,false,-,false,-,-,-,-,-,-,5,-,-,vivado_impl_failed_or_incomplete,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b3_varshney_exec_expanded_gap_300_5824/post_route.dcp,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b3_varshney_exec_expanded_gap_300_5824/post_route_utilization.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b3_varshney_exec_expanded_gap_300_5824/post_route_timing.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b3_varshney_exec_expanded_gap_300_5824/operating_conditions.rpt,/home/tangodelta/Escritorio/NEMA/build/amd_vivado_artix7_v4/b3_varshney_exec_expanded_gap_300_5824/vivado.log
