benchId,ii,latencyCycles,lut,ff,bram,dsp,wns,fmax_est,hls_csim_ok,hls_csynth_ok,vivado_impl_ok,bench_report_path
B1,32,31,1148,355,0,0,1.129,258.331181,true,true,true,build/audit_min/bench_verify/b1/example_b1_small_subgraph/bench_report.json
B2,614,613,4818,4738,1,1,0.957,247.341083,true,true,true,build/audit_min/bench_verify/b2/B2_mid_64_1024/bench_report.json
B3,2746,2745,3172,3110,7,1,0.988,249.252243,true,true,true,build/pre_board_20260228T132542Z/runs/b3_hw/B3_kernel_302_7500/bench_report.json
B4,100,99,2584,2633,0,0,1.032,252.016129,true,true,true,build/bench_verify_b4/B4_celegans_external_bundle/bench_report.json
B5,892,891,4561,5148,6,1,-,200,true,true,false,build/bench_verify_b5_family/B5_synth_96_1800_s503/bench_report.json
B6,67,66,1928,1098,1,0,0.894,243.54603,true,true,true,build/paperA_routeA/B6/B6_delay_small/bench_report.json
